"id","source_url","nom_verre","gravure_nasale","indice_verre","materiaux","fournisseur"
1861,https://www.france-optique.com/gravures/fournisseur=1958,NeoMADE/16 1.67,"7N2","1.67",ORG AR blanc/couleur - Trans. - Photo - Pola,Fournisseur : INDO OPTIC ...
1862,https://www.france-optique.com/gravures/fournisseur=1958,NeoMADE/19 1.67,"7N1","1.67",ORG AR blanc/couleur - Trans. - Photo - Pola,Fournisseur : INDO OPTIC ...
1863,https://www.france-optique.com/gravures/fournisseur=1958,NeoMADE/22 1.67,"7N0","1.67",ORG AR blanc/couleur - Trans. - Photo - Pola,Fournisseur : INDO OPTIC ...
1864,https://www.france-optique.com/gravures/fournisseur=1958,NeoMADE/16 1.6,"6N2","1.6",ORG AR blanc/couleur - Trans. - Photo - Pola,Fournisseur : INDO OPTIC ...
1865,https://www.france-optique.com/gravures/fournisseur=1958,NeoMADE/19 1.6,"6N1","1.6",ORG AR blanc/couleur - Trans. - Photo - Pola,Fournisseur : INDO OPTIC ...
1866,https://www.france-optique.com/gravures/fournisseur=1958,NeoMADE/22 1.6,"6N0","1.6",ORG AR blanc/couleur - Trans. - Photo - Pola,Fournisseur : INDO OPTIC ...
1867,https://www.france-optique.com/gravures/fournisseur=1958,NeoMADE/16 1.5,"5N2","1.5",ORG AR blanc/couleur - Trans. - XTRActive - Photo,Fournisseur : INDO OPTIC ...
1868,https://www.france-optique.com/gravures/fournisseur=1958,NeoMADE/19 1.5,"5N1","1.5",ORG AR blanc/couleur - Trans. - XTRActive - Photo,Fournisseur : INDO OPTIC ...
1869,https://www.france-optique.com/gravures/fournisseur=1958,NeoMADE/22 1.5,"5N0","1.5",ORG AR blanc/couleur - Trans. - XTRActive - Photo,Fournisseur : INDO OPTIC ...
1870,https://www.france-optique.com/gravures/fournisseur=1958,Adapta-Short 1.6,Aps6,"1.6",ORG AR blanc/couleur - Trans. - Photo,Fournisseur : INDO OPTIC ...
1871,https://www.france-optique.com/gravures/fournisseur=1958,Adapta-Short 1.5,Aps5,"1.5",ORG AR blanc/couleur - Trans. - XTRActive - Photo,Fournisseur : INDO OPTIC ...
1872,https://www.france-optique.com/gravures/fournisseur=1958,Work Indofin 1.67/Work Indoor If-1.67,wr67 /wir67,"1.67",ORG,Fournisseur : INDO OPTIC ...
1873,https://www.france-optique.com/gravures/fournisseur=1958,Work Indofin 1.6/Work Indoor If-1.6,wr6 / wir6,"1.6",ORG,Fournisseur : INDO OPTIC ...
1874,https://www.france-optique.com/gravures/fournisseur=1958,Work Superfin 1.5/Work Indoor Sf-1.5,wr / wir,"1.5",ORG,Fournisseur : INDO OPTIC ...
1875,https://www.france-optique.com/gravures/fournisseur=1958,Work Indoor If-1.6,wir6,"1.6",ORG / AR Blanc,Fournisseur : INDO OPTIC ...
1876,https://www.france-optique.com/gravures/fournisseur=1958,Work Indoor Sf-1.5,wir,"1.5",ORG / AR Blanc,Fournisseur : INDO OPTIC ...
1877,https://www.france-optique.com/gravures/fournisseur=1958,Drive Indofin 1.67,dv67,"1.67",ORG / Day-Night,Fournisseur : INDO OPTIC ...
1878,https://www.france-optique.com/gravures/fournisseur=1958,Drive Indofin 1.67 Polar,dvP67,"1.67",ORG Pola,Fournisseur : INDO OPTIC ...
1879,https://www.france-optique.com/gravures/fournisseur=1958,Drive Indofin 1.6,dv6,"1.6",ORG / Day-Night,Fournisseur : INDO OPTIC ...
1880,https://www.france-optique.com/gravures/fournisseur=1958,Drive Indofin 1.6 Polar,dvP6,"1.6",ORG Pola,Fournisseur : INDO OPTIC ...
1881,https://www.france-optique.com/gravures/fournisseur=1958,Drive Superfin 1.5,dv,"1.5",ORG / Day-Night / XTRActive,Fournisseur : INDO OPTIC ...
1882,https://www.france-optique.com/gravures/fournisseur=1958,Drive Sf-1.5 Polar,dvP,"1.5",ORG Pola,Fournisseur : INDO OPTIC ...
1883,https://www.france-optique.com/gravures/fournisseur=1958,Admira 1.8 Mineral,"18","1.8",MIN,Fournisseur : INDO OPTIC ...
1884,https://www.france-optique.com/gravures/fournisseur=1958,Admira 1.6 Mineral,H,"1.6",MIN Blanc / Photo,Fournisseur : INDO OPTIC ...
1885,https://www.france-optique.com/gravures/fournisseur=1958,UNImax 1.74,mf74,"1.74",ORG AR Blanc - Trans.,Fournisseur : INDO OPTIC ...
1886,https://www.france-optique.com/gravures/fournisseur=1958,UNImax 1.67,mf67,"1.67",ORG AR Blanc/Couleur - Trans. - Photo.,Fournisseur : INDO OPTIC ...
1887,https://www.france-optique.com/gravures/fournisseur=1958,UNImax 1.67 Polar,mfP67,"1.67",ORG Pola,Fournisseur : INDO OPTIC ...
1888,https://www.france-optique.com/gravures/fournisseur=1958,UNImax 1.6,mf6,"1.6",ORG AR Blanc/Couleur - Trans. - Photo.,Fournisseur : INDO OPTIC ...
1889,https://www.france-optique.com/gravures/fournisseur=1958,UNImax 1.6 Polar,mfP6,"1.6",ORG Pola,Fournisseur : INDO OPTIC ...
1890,https://www.france-optique.com/gravures/fournisseur=1958,UNImax 1.5,mf,"1.5",ORG AR Blanc/Couleur - Trans. - XTRActive - Photo.,Fournisseur : INDO OPTIC ...
1891,https://www.france-optique.com/gravures/fournisseur=1958,UNImax 1.5 Polar,mfP,"1.5",ORG Pola,Fournisseur : INDO OPTIC ...
1892,https://www.france-optique.com/gravures/fournisseur=1958,UNImax Sport 1.67 Polar N10,mfsP67,"1.67",ORG Pola,Fournisseur : INDO OPTIC ...
1893,https://www.france-optique.com/gravures/fournisseur=1958,UNImax Sport 1.67 Couleur,mfs67,"1.67",ORG*,Fournisseur : INDO OPTIC ...
1894,https://www.france-optique.com/gravures/fournisseur=1958,UNImax Sport 1.6 Polar N10,mfsP6,"1.6",ORG Pola,Fournisseur : INDO OPTIC ...
1895,https://www.france-optique.com/gravures/fournisseur=1958,UNImax Sport 1.6 Couleur,mfs6,"1.6",ORG*,Fournisseur : INDO OPTIC ...
1896,https://www.france-optique.com/gravures/fournisseur=1958,UNImax Sport 1.5 Polar N10,mfsP,"1.5",ORG Pola,Fournisseur : INDO OPTIC ...
1897,https://www.france-optique.com/gravures/fournisseur=1958,UNImax Sport 1.5 Couleur,mfs,"1.5",ORG*,Fournisseur : INDO OPTIC ...
1898,https://www.france-optique.com/gravures/fournisseur=1958,Forza 1.67,PY67/P8Y67,"1.67",ORG AR blanc - Trans.,Fournisseur : INDO OPTIC ...
1899,https://www.france-optique.com/gravures/fournisseur=1958,Forza 1.67 Polar,PYP67/P8YP67,"1.67",ORG Pola,Fournisseur : INDO OPTIC ...
1900,https://www.france-optique.com/gravures/fournisseur=1958,Forza 1.6,PY6/P8Y6,"1.6",ORG AR blanc - Trans.,Fournisseur : INDO OPTIC ...
1901,https://www.france-optique.com/gravures/fournisseur=1958,Forza 1.6 Polar,PYP6/P8YP6,"1.6",ORG Pola,Fournisseur : INDO OPTIC ...
1902,https://www.france-optique.com/gravures/fournisseur=1958,Forza 1.5,P/P8,"1.5",ORG AR blanc/couleur - Trans. - XTRActive,Fournisseur : INDO OPTIC ...
1903,https://www.france-optique.com/gravures/fournisseur=1958,Forza 1.5 Polar,PP/P8P,"1.5",ORG Pola,Fournisseur : INDO OPTIC ...
1904,https://www.france-optique.com/gravures/fournisseur=1958,Indofin 1.67AS IndoPolar,R,"1.67",ORG Pola,Fournisseur : INDO OPTIC ...
1905,https://www.france-optique.com/gravures/fournisseur=1958,Indofin 1.6 IndoPolar,R,"1.6",ORG Pola,Fournisseur : INDO OPTIC ...
1906,https://www.france-optique.com/gravures/fournisseur=1958,Superfin IndoPolar,R,"1.5",ORG Pola,Fournisseur : INDO OPTIC ...
1907,https://www.france-optique.com/gravures/fournisseur=1958,Lecta Superfin,L,"1.5",ORG,Fournisseur : INDO OPTIC ...
1908,https://www.france-optique.com/gravures/fournisseur=1958,Basic/16 1.5,"5c","1.5",ORG / AR Blanc,Fournisseur : INDO OPTIC ...
1909,https://www.france-optique.com/gravures/fournisseur=1958,Basic/19 1.5,"5b","1.5",ORG / AR Blanc,Fournisseur : INDO OPTIC ...
1910,https://www.france-optique.com/gravures/fournisseur=1958,Basic/16 1.6,"6c","1.6",ORG / AR Blanc,Fournisseur : INDO OPTIC ...
1911,https://www.france-optique.com/gravures/fournisseur=1958,Basic/19 1.6,"6b","1.6",ORG / AR Blanc,Fournisseur : INDO OPTIC ...
1912,https://www.france-optique.com/gravures/fournisseur=1958,Basic/16 1.67,"7c","1.67",ORG / AR Blanc,Fournisseur : INDO OPTIC ...
1913,https://www.france-optique.com/gravures/fournisseur=1958,Basic/19 1.67,"7b","1.67",ORG / AR Blanc,Fournisseur : INDO OPTIC ...
1914,https://www.france-optique.com/gravures/fournisseur=1958,Basic/16 1.74,"8c","1.74",ORG / AR Blanc,Fournisseur : INDO OPTIC ...
1915,https://www.france-optique.com/gravures/fournisseur=1958,Basic/19 1.74,"8b","1.74",ORG / AR Blanc,Fournisseur : INDO OPTIC ...
1916,https://www.france-optique.com/gravures/fournisseur=1958,MaxView-U 1.74,mWU74,"1.74",ORG AR blanc - Trans.,Fournisseur : INDO OPTIC ...
1917,https://www.france-optique.com/gravures/fournisseur=1958,MaxView-U 1.67,mWU67,"1.67",ORG AR blanc/couleur-Trans.-XTRActive-Photo-Pola,Fournisseur : INDO OPTIC ...
1918,https://www.france-optique.com/gravures/fournisseur=1958,MaxView-U 1.6,mWU6,"1.6",ORG AR blanc/couleur - Trans. - Photo - Pola,Fournisseur : INDO OPTIC ...
1919,https://www.france-optique.com/gravures/fournisseur=1958,MaxView-U 1.5,mWU,"1.5",ORG AR blanc/couleur-Trans.-XTRActive-Photo-Pola,Fournisseur : INDO OPTIC ...
1920,https://www.france-optique.com/gravures/fournisseur=1958,Maxima-U 1.74,mxU74,"1.74",ORG AR blanc/couleur - Trans.,Fournisseur : INDO OPTIC ...
1921,https://www.france-optique.com/gravures/fournisseur=1958,Maxima-U 1.67,mxU67,"1.67",ORG AR blanc/couleur - Trans. - Photo - Pola,Fournisseur : INDO OPTIC ...
1922,https://www.france-optique.com/gravures/fournisseur=1958,Maxima-U 1.6,mxU6,"1.6",ORG AR blanc/couleur - Trans. - Photo - Pola,Fournisseur : INDO OPTIC ...
1923,https://www.france-optique.com/gravures/fournisseur=1958,Maxima-U 1.5,mxU,"1.5",ORG AR blanc/couleur-Trans.-XTRActive-Photo-Pola,Fournisseur : INDO OPTIC ...
1924,https://www.france-optique.com/gravures/fournisseur=1958,Maxima Sport-U 1.67,mxsU67,"1.67",ORG Couleur - Pola,Fournisseur : INDO OPTIC ...
1925,https://www.france-optique.com/gravures/fournisseur=1958,Maxima Sport-U 1.6,mxsU6,"1.6",ORG Couleur - Pola,Fournisseur : INDO OPTIC ...
1926,https://www.france-optique.com/gravures/fournisseur=1958,Maxima Sport-U 1.5,mxsU,"1.5",ORG Couleur - Pola,Fournisseur : INDO OPTIC ...
1927,https://www.france-optique.com/gravures/fournisseur=1958,EasyMax-U 1.67,esU67,"1.67",ORG AR blanc/couleur - Trans. - Photo - Pola,Fournisseur : INDO OPTIC ...
1928,https://www.france-optique.com/gravures/fournisseur=1958,EasyMax-U 1.6,esU6,"1.6",ORG AR blanc/couleur - Trans. - Photo - Pola,Fournisseur : INDO OPTIC ...
1929,https://www.france-optique.com/gravures/fournisseur=1958,EasyMax-U 1.5,esU,"1.5",ORG AR blanc/couleur-Trans.-XTRActive-Photo-Pola,Fournisseur : INDO OPTIC ...
1930,https://www.france-optique.com/gravures/fournisseur=1958,Ingenia-U 1.74,InU74,"1.74",ORG AR Blanc - Transitions,Fournisseur : INDO OPTIC ...
1931,https://www.france-optique.com/gravures/fournisseur=1958,Ingenia-U 1.67,InU67,"1.67",ORG AR blanc/couleur - Trans. - Photo - Pola,Fournisseur : INDO OPTIC ...
1932,https://www.france-optique.com/gravures/fournisseur=1958,Ingenia-U 1.6,InU6,"1.6",ORG AR blanc/couleur - Trans. - Photo - Pola,Fournisseur : INDO OPTIC ...
1933,https://www.france-optique.com/gravures/fournisseur=1958,Ingenia-U 1.5,InU,"1.5",ORG AR blanc/couleur - Trans. - Photo - Pola,Fournisseur : INDO OPTIC ...
1934,https://www.france-optique.com/gravures/fournisseur=1958,Activa-U 1.67,acU67,"1.67",ORG AR blanc/couleur - Trans. - Photo - Pola,Fournisseur : INDO OPTIC ...
1935,https://www.france-optique.com/gravures/fournisseur=1958,Activa-U 1.6,acU6,"1.6",ORG AR blanc/couleur - Trans. - Photo - Pola,Fournisseur : INDO OPTIC ...
1936,https://www.france-optique.com/gravures/fournisseur=1958,Activa-U 1.5,acU,"1.5",ORG AR blanc/couleur - Trans. - Photo - Pola,Fournisseur : INDO OPTIC ...
1937,https://www.france-optique.com/gravures/fournisseur=1958,Superkid Miofocal 1.5 N-SuperClear,SMF,"1.5",ORG,Fournisseur : INDO OPTIC ...
1938,https://www.france-optique.com/gravures/fournisseur=1958,Superkid Miofocal 1.5 eNGY Blue IR,SMF,"1.5",ORG,Fournisseur : INDO OPTIC ...
1939,https://www.france-optique.com/gravures/fournisseur=1958,Superkid Miofocal 1.6 N-SuperClear,SMF6,"1.6",ORG,Fournisseur : INDO OPTIC ...
1940,https://www.france-optique.com/gravures/fournisseur=1958,Superkid Miofocal 1.6 eNGY Blue IR,SMF6,"1.6",ORG,Fournisseur : INDO OPTIC ...
1941,https://www.france-optique.com/gravures/fournisseur=1958,Superkid Miofocal 1.67 N-SuperClear,SMF67,"1.67",ORG,Fournisseur : INDO OPTIC ...
1942,https://www.france-optique.com/gravures/fournisseur=1958,Superkid Miofocal 1.67 eNGY Blue IR,SMF67,"1.67",ORG,Fournisseur : INDO OPTIC ...
1943,https://www.france-optique.com/gravures/fournisseur=1958,Superkid Miofocal 1.74 N-SuperClear,SMF74,"1.74",ORG,Fournisseur : INDO OPTIC ...
1944,https://www.france-optique.com/gravures/fournisseur=1958,Superkid Miofocal 1.74 eNGY Blue IR,SMF74,"1.74",ORG,Fournisseur : INDO OPTIC ...
1945,https://www.france-optique.com/gravures/fournisseur=644,ABSOLU URBAIN 1.5 blanc / X400 / Xblue / Transitions® GenS™ / Transitions® XTRActive® / Pola / Pol Dégradé / Pola DRW™,ABU,"1.50",ORG,Fournisseur : MEGA OPTIC
1946,https://www.france-optique.com/gravures/fournisseur=644,ABSOLU URBAIN TVX® 1.53 blanc / Transitions® GenS™ / Transitions® XTRActive® / Pola,ABU,"1.53",TVX,Fournisseur : MEGA OPTIC
1947,https://www.france-optique.com/gravures/fournisseur=644,ABSOLU URBAIN 1.59 blanc / Transitions® GenS™ / Transitions® XTRActive® / Pola / Pola DRW™,ABU,"1.59",POLY,Fournisseur : MEGA OPTIC
1948,https://www.france-optique.com/gravures/fournisseur=644,ABSOLU URBAIN 1.6 blanc / Xblue / Transitions® GenS™ / Transitions® XTRActive® / Pola,ABU,"1.6",MR8,Fournisseur : MEGA OPTIC
1949,https://www.france-optique.com/gravures/fournisseur=644,ABSOLU URBAIN 1.67 blanc / Xblue / Transitions® GenS™ / Transitions® XTRActive® / Pola,ABU,"1.67",ORG,Fournisseur : MEGA OPTIC
1950,https://www.france-optique.com/gravures/fournisseur=644,ABSOLU URBAIN 1.74 blanc / Xblue / Transitions® GenS™,ABU,"1.74",ORG,Fournisseur : MEGA OPTIC
1951,https://www.france-optique.com/gravures/fournisseur=644,ABSOLU SCRIPT 1.5 blanc / X400 / Xblue / Transitions® GenS™ / Transitions® XTRActive® / Pola / Pola Dégradé / Pola DRW™,ABS,"1.5",ORG,Fournisseur : MEGA OPTIC
1952,https://www.france-optique.com/gravures/fournisseur=644,ABSOLU SCRIPT TVX® 1.53 blanc / Transitions® GenS™ / Transitions® XTRActive® / Pola,ABS,"1.53",TVX,Fournisseur : MEGA OPTIC
1953,https://www.france-optique.com/gravures/fournisseur=644,ABSOLU SCRIPT 1.59 blanc /Transitions® GenS™ / Transitions® XTRActive® / Pola / Pola DRW™,ABS,"1.59",POLY,Fournisseur : MEGA OPTIC
1954,https://www.france-optique.com/gravures/fournisseur=2395,Ophtalmic B-FIT 174,BF,"1.74",ORG,Fournisseur : OPHTALMIC  ...
