id,nom_verre,gravure_nasale,matched_glass_name,matched_nasal_engraving,tags,match_score,indice_verre,materiaux,fournisseur,source_url
1955,INTEGRAL ou INTEGRAL IP 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_94-nas-mont-royal-01.tif.jpg,INTEGRAL ou INTEGRAL IP 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_94-nas-mont-royal-01.tif.jpg,"['vcercle', 'F', 'w']",16.58823529411765,1.5,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
1956,INTEGRAL ou INTEGRAL IP 1.60 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_94-nas-mont-royal-01.tif.jpg,INTEGRAL ou INTEGRAL IP 1.60 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_94-nas-mont-royal-01.tif.jpg,['triangle'],16.58823529411765,1.6,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
1957,INTEGRAL ou INTEGRAL IP 1.67 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_94-nas-mont-royal-01.tif.jpg,INTEGRAL ou INTEGRAL IP 1.67 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_94-nas-mont-royal-01.tif.jpg,"['vcercle', 'F', 'w', 'D', '2']",16.58823529411765,1.67,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
1958,"INTEGRAL 1,74",https://si.france-optique.com/img/gravures/nasal/web_94-nas-mont-royal-01.tif.jpg,"INTEGRAL 1,74",https://si.france-optique.com/img/gravures/nasal/web_94-nas-mont-royal-01.tif.jpg,"['vcercle', 'F', 'w', 'D', '2']",16.58823529411765,1.74,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
1959,ULTRA HD TEK 1.50 & ULTRA HD TEK IP 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_95-nas-mont-royal-02.tif.jpg,ULTRA HD TEK 1.50 & ULTRA HD TEK IP 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_95-nas-mont-royal-02.tif.jpg,"['D', 'I', 'lune', 'P', 'C']",16.58823529411765,1.5,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
1960,ULTRA HD TEK 1.60 & ULTRA HD TEK IP 1.60 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_95-nas-mont-royal-02.tif.jpg,ULTRA HD TEK 1.60 & ULTRA HD TEK IP 1.60 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_95-nas-mont-royal-02.tif.jpg,"['vcercle', 'I', 'w']",16.58823529411765,1.6,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
1961,ULTRA HD TEK 1.67  & ULTRA HD TEK IP 1.67 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_95-nas-mont-royal-02.tif.jpg,ULTRA HD TEK 1.67  & ULTRA HD TEK IP 1.67 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_95-nas-mont-royal-02.tif.jpg,"['D', 'I', 'soleil', 'P', 'C']",16.58823529411765,1.67,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
1962,ULTRA HD TEK 1.74,https://si.france-optique.com/img/gravures/nasal/web_95-nas-mont-royal-02.tif.jpg,ULTRA HD TEK 1.74,https://si.france-optique.com/img/gravures/nasal/web_95-nas-mont-royal-02.tif.jpg,['carré'],16.58823529411765,1.74,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
1963,ULTRA HD Short TEK 1.50 & ULTRA HD Short TEK  IP 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_95-nas-mont-royal-02.tif.jpg,ULTRA HD Short TEK 1.50 & ULTRA HD Short TEK  IP 1.50 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_95-nas-mont-royal-02.tif.jpg,['carré'],16.58823529411765,1.5,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
1964,ULTRA HD Short TEK 1.60 & ULTRA HD Short TEK IP 1.60 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_95-nas-mont-royal-02.tif.jpg,ULTRA HD Short TEK 1.60 & ULTRA HD Short TEK IP 1.60 + Transitions,https://si.france-optique.com/img/gravures/nasal/web_95-nas-mont-royal-02.tif.jpg,['triangle'],16.58823529411765,1.6,ORG,Fournisseur : MONT-ROYAL,https://www.france-optique.com/gravures/fournisseur=1838
