"verre_id","glass_name","source_url","nasal_engraving","glass_index","material","glass_supplier_name","tags"
1,Yuniku Progressive Eyvia 1.74 UV2.0 (11 à 16mm) Blanc,https://www.france-optique.com/gravures/fournisseur=130,YP_7,"1.74",ORG Blanc,Fournisseur : HOYA Visio ...,"[""YP_7""]"
2,MyStyle V+ EyeGenius Eyvia 1.74 UV2.0 (11 à 16mm) Blanc,https://www.france-optique.com/gravures/fournisseur=130,EG ,"1.74",ORG Blanc,Fournisseur : HOYA Visio ...,"[""EG""]"
3,MyStyle V+ EyeGenius Eyas 1.60 UV2.0 (11 à 16mm) Blanc/Sensity 2/Sensity Dark,https://www.france-optique.com/gravures/fournisseur=130,EG ,"1.60",ORG Blanc / PHO,Fournisseur : HOYA Visio ...,"[""EG""]"
4,MyStyle V+ EyeGenius PNX 1.53 UV2.0 (11 à 16mm) Blanc/Sensity 2,https://www.france-optique.com/gravures/fournisseur=130,EG ,"1.53",ORG Blanc / PHO,Fournisseur : HOYA Visio ...,"[""EG""]"
5,MyStyle V+ EyeGenius Organique 1.50 (11 à 16mm) Blanc/Sensity 2/Sensity Dark,https://www.france-optique.com/gravures/fournisseur=130,EG ,"1.50",ORG Blanc / PHO,Fournisseur : HOYA Visio ...,"[""EG""]"
6,LifeStyle 3i Indoor/Outdoor/Urban Eyvia 1.74 UV2.0 (11 à 14mm) Blanc,https://www.france-optique.com/gravures/fournisseur=130,LI_7I ou LI_7O ou LI_7U,"1.74",ORG Blanc,Fournisseur : HOYA Visio ...,"[""LI_7I ou LI_7O ou LI_7U""]"
7,LifeStyle 3 Indoor/Outdoor/Urban Eyvia 1.74 UV2.0 (11 à 14mm) Blanc,https://www.france-optique.com/gravures/fournisseur=130,L_7I ou L_7O ou L_7U,"1.74",ORG Blanc,Fournisseur : HOYA Visio ...,"[""L_7I ou L_7O ou L_7U""]"
8,Balansis Eyvia 1.74 UV2.0 (11mm - 14mm) Blanc,https://www.france-optique.com/gravures/fournisseur=130,B17 ou B47,"1.74",ORG Blanc,Fournisseur : HOYA Visio ...,"[""B17 ou B47""]"
9,Daynamic 1.53 (11mm - 14mm) Polarisant,https://www.france-optique.com/gravures/fournisseur=130,DP1X ou DP4X,"1.53",ORG POLA,Fournisseur : HOYA Visio ...,"[""DP1X ou DP4X""]"
10,Amplitude Plus Eynoa 1.67 UV2.0 (11mm - 15mm) Blanc/Sensity 2/Sensity Dark,https://www.france-optique.com/gravures/fournisseur=130,DA15 ou DA55,"1.67",ORG Blanc/ PHO,Fournisseur : HOYA Visio ...,"[""DA15 ou DA55""]"
11,Yuniku Digital T5/T9/T13 Eyvia 1.74 UV2.0 Blanc,https://www.france-optique.com/gravures/fournisseur=130,YD7,"1.74",ORG Blanc,Fournisseur : HOYA Visio ...,"[""YD7""]"
12,Yuniku Single Vision Eyvia 1.74 UV2.0 Blanc,https://www.france-optique.com/gravures/fournisseur=130,YS7,"1.74",ORG Blanc,Fournisseur : HOYA Visio ...,"[""YS7""]"
13,Nulux iDentity V+ EyeGenius Eyvia 1.74 UV2.0 Blanc,https://www.france-optique.com/gravures/fournisseur=130,EG ,"1.74",ORG Blanc,Fournisseur : HOYA Visio ...,"[""EG""]"
14,Sync IIIi T5/T9/T13 Eyvia 1.74 UV2.0 Blanc,https://www.france-optique.com/gravures/fournisseur=130,SYi7,"1.74",ORG Blanc,Fournisseur : HOYA Visio ...,"[""SYi7""]"
15,MySelf Eyvia 1.74 UV2.0 (11 à 16mm) Blanc,https://www.france-optique.com/gravures/fournisseur=130,MY_7,"1.74",ORG Blanc,Fournisseur : HOYA Visio ...,"[""MY_7""]"
16,Balansis i Eyvia 1.74 UV2.0 (11mm - 14mm) Blanc,https://www.france-optique.com/gravures/fournisseur=130,Bi17 ou Bi47,"1.74",ORG Blanc,Fournisseur : HOYA Visio ...,"[""Bi17 ou Bi47""]"
17,Daynamic 1.67 Advanced Lights Protection (11mm - 14mm) Blanc,https://www.france-optique.com/gravures/fournisseur=130,DP14L ou DP45L,"1.67",ORG Blanc,Fournisseur : HOYA Visio ...,"[""DP14L ou DP45L""]"
18,Lifestyle 3i Indoor/Outdoor/Urban 1.67 Advanced Lights Protection (11 à 14mm) Blanc,https://www.france-optique.com/gravures/fournisseur=130,LI_5LI ou LI_5LO ou LI_5LU,"1.67",ORG Blanc,Fournisseur : HOYA Visio ...,"[""LI_5LI ou LI_5LO ou LI_5LU""]"
19,Yuniku Progressive Eynoa 1.67 UV2.0 (11 à 16mm) Blanc/Sensity 2/Sensity Dark,https://www.france-optique.com/gravures/fournisseur=130,YP_5,"1.67",ORG Blanc / PHO,Fournisseur : HOYA Visio ...,"[""YP_5""]"
20,MyStyle V+ EyeGenius Eynoa 1.67 UV2.0 (11 à 16mm) Blanc/Sensity 2/Sensity Dark,https://www.france-optique.com/gravures/fournisseur=130,EG ,"1.67",ORG Blanc / PHO,Fournisseur : HOYA Visio ...,"[""EG""]"
21,Lifestyle 3i  Indoor/Outdoor/Urban Eynoa 1.67 UV2.0 (11 à 14mm) Blanc/Sensity 2/Sensity Dark,https://www.france-optique.com/gravures/fournisseur=130,LI_5I ou LI_5O ou LI_5U,"1.67",ORG Blanc / PHO,Fournisseur : HOYA Visio ...,"[""LI_5I ou LI_5O ou LI_5U""]"
22,Lifestyle 3  Indoor/Outdoor/Urban 1.67 Advanced Lights Protection (11 à 14mm) Blanc,https://www.france-optique.com/gravures/fournisseur=130,L_5LI ou L_5LO ou L_5LU,"1.67",ORG Blanc,Fournisseur : HOYA Visio ...,"[""L_5LI ou L_5LO ou L_5LU""]"
23,Balansis Eynoa 1.67 UV2.0 (11mm - 14mm) Blanc/Sensity 2/Sensity Dark,https://www.france-optique.com/gravures/fournisseur=130,B15 ou B45,"1.67",ORG Blanc /  PHO,Fournisseur : HOYA Visio ...,"[""B15 ou B45""]"
24,Yuniku Digital T5/T9/T13 Eynoa 1.67 UV2.0 Blanc/Sensity 2/Sensity Dark/Fin Polarisant,https://www.france-optique.com/gravures/fournisseur=130,YD5,"1.67",ORG Blanc / PHO / POLA,Fournisseur : HOYA Visio ...,"[""YD5""]"
25,Yuniku Single Vision Eynoa 1.67 UV2.0 Blanc/Sensity 2/Sensity Dark/Fin Polarisant,https://www.france-optique.com/gravures/fournisseur=130,YS5,"1.67",ORG Blanc / PHO / POLA,Fournisseur : HOYA Visio ...,"[""YS5""]"
26,Nulux iDentity V+ EyeGenius Eynoa 1.67 UV2.0 Blanc/Sensity 2/Sensity Dark,https://www.france-optique.com/gravures/fournisseur=130,EG ,"1.67",ORG Blanc/ PHO,Fournisseur : HOYA Visio ...,"[""EG""]"
27,Balansis i 1.67 Advanced Lights Protection (11mm - 14mm) Blanc,https://www.france-optique.com/gravures/fournisseur=130,Bi15L ou Bi45L,"1.67",ORG Blanc,Fournisseur : HOYA Visio ...,"[""Bi15L ou Bi45L""]"
28,Daynamic PNX 1.53 UV2.0 (11mm - 14mm) Blanc/Sensity 2,https://www.france-optique.com/gravures/fournisseur=130,DP1X ou DP4X,"1.53",ORG Blanc / PHO,Fournisseur : HOYA Visio ...,"[""DP1X ou DP4X""]"
29,MySelf 1.67 Advanced Lights Protection (11 à 16mm) Blanc,https://www.france-optique.com/gravures/fournisseur=130,MY_5L,"1.67",ORG Blanc,Fournisseur : HOYA Visio ...,"[""MY_5L""]"
30,MyStyle V+ Eyas 1.60 UV2.0 (11 à 16mm) Blanc/Sensity 2/Sensity Dark,https://www.france-optique.com/gravures/fournisseur=130,MSV _3,"1.60",ORG Blanc / PHO,Fournisseur : HOYA Visio ...,"[""MSV _3""]"
31,MyStyle V+ PNX 1.53 UV2.0 (11 à 16mm) Blanc/Sensity 2,https://www.france-optique.com/gravures/fournisseur=130,MSV _X,"1.53",ORG Blanc / PHO,Fournisseur : HOYA Visio ...,"[""MSV _X""]"
32,MyStyle V+ Organique 1.50 (11 à 16mm) Blanc/Sensity 2/Sensity Dark,https://www.france-optique.com/gravures/fournisseur=130,MSV _1,"1.50",ORG Blanc / PHO,Fournisseur : HOYA Visio ...,"[""MSV _1""]"
33,LifeStyle 3i Close/Active/Allround 1.67 (11 à 14mm) Fin Polarisant,https://www.france-optique.com/gravures/fournisseur=130,LI_5I ou LI_5O ou LI_5U,"1.67",ORG POLA,Fournisseur : HOYA Visio ...,"[""LI_5I ou LI_5O ou LI_5U""]"
34,Daynamic 1.67 (11mm - 14mm) Fin Polarisant,https://www.france-optique.com/gravures/fournisseur=130,DP14 ou DP45,"1.67",ORG POLA,Fournisseur : HOYA Visio ...,"[""DP14 ou DP45""]"
35,Amplitude Plus Eyas 1.60 UV2.0 (11mm - 15mm) Blanc/Sensity 2/Sensity Dark,https://www.france-optique.com/gravures/fournisseur=130,DA13 ou DA53,"1.60",ORG Blanc/ PHO,Fournisseur : HOYA Visio ...,"[""DA13 ou DA53""]"
