verre_id,glass_name,source_url,nasal_engraving,glass_index,material,glass_supplier_name,tags
679,Intuitiv Plus Mio OR15,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_12-nas-bbgr-01.tif.jpg,1.5,Organique,Produits optiques : BBGR OPTIQUE,"[""doubletriangle"", ""+""]"
681,Intuitiv Plus Mio Trivex,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_439-nas-bbgr-02.tif.jpg,1.53,Trivex,Produits optiques : BBGR OPTIQUE,"[""doubletriangle"", ""\u00e9toile"", ""+""]"
683,Intuitiv Plus Mio Tilium,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_440-nas-bbgr-03.tif.jpg,1.59,Polycarbonate,Produits optiques : BBGR OPTIQUE,"[""doubletriangle"", ""P"", ""+""]"
685,Intuitiv Plus Mio OR16,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_441-nas-bbgr-04.tif.jpg,1.6,Organique,Produits optiques : BBGR OPTIQUE,"[""doubletriangle"", ""6"", ""+""]"
687,Intuitiv Plus Mio OR167,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_443-nas-bbgr-06.tif.jpg,1.67,Organique,Produits optiques : BBGR OPTIQUE,"[""doubletriangle"", ""6"", ""7"", ""+""]"
689,Intuitiv Plus Mio OR174,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_445-nas-bbgr-08.tif.jpg,1.74,Organique,Produits optiques : BBGR OPTIQUE,"[""doubletriangle"", ""+"", ""7"", ""4""]"
691,Intuitiv Plus OR15,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_1097-nas-bbgr-165.tif.jpg,1.5,Organique,Produits optiques : BBGR OPTIQUE,"[""doubletriangle"", ""+""]"
693,Intuitiv Plus Trivex,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_1130-nas-bbgr-194.tif.jpg,1.53,Trivex,Produits optiques : BBGR OPTIQUE,"[""doubletriangle"", ""\u00e9toile"", ""+""]"
695,Intuitiv Plus Tilium,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_1129-nas-bbgr-195.tif.jpg,1.59,Polycarbonate,Produits optiques : BBGR OPTIQUE,"[""doubletriangle"", ""P"", ""+""]"
697,Intuitiv Plus OR16,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_1127-nas-bbgr-164.tif.jpg,1.6,Organique,Produits optiques : BBGR OPTIQUE,"[""doubletriangle"", ""6"", ""+""]"
699,Intuitiv Plus OR167,https://www.france-optique.com/fournisseur/1344-bbgr-optique/gravures,https://si.france-optique.com/img/gravures/nasal/web_1098-nas-bbgr-166.tif.jpg,1.67,Organique,Produits optiques : BBGR OPTIQUE,"[""doubletriangle"", ""6"", ""7"", ""+""]"
