id,nom_verre,materiaux,indice,fournisseur,gravure_nasale,source_url,created_at
1,ETEREA / Blue Natural / Fotocolor / Fotochroma / Transition / Xtractive / Fotocar / Speedy / Polarisant,ORG,1.5,Fournisseur : DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1807-nas-rond.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,2025-06-13 13:26:35.853333
2,ETEREA / Blue Natural / Fotocolor / Transition / Xtractive / Polarisant,ORG,1.6,Fournisseur : DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1807-nas-rond.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,2025-06-13 13:26:35.866666
3,ETEREA / Blue Natural / Transition / Polarisant,ORG,1.67,Fournisseur : DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1807-nas-rond.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,2025-06-13 13:26:35.880000
4,ALIENA / Blue Natural / Fotocolor / Fotochroma / Transition / Xtractive / Fotocar / Speedy / Polarisant,ORG,1.5,Fournisseur : DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1808-nas-trianglecarre.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,2025-06-13 13:26:35.893333
5,ALIENA / Blue Natural / Fotocolor / Transition / Xtractive / Polarisant,ORG,1.6,Fournisseur : DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1808-nas-trianglecarre.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,2025-06-13 13:26:35.900000
6,ALIENA / Blue Natural / Transition / Polarisant,ORG,1.67,Fournisseur : DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1808-nas-trianglecarre.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,2025-06-13 13:26:35.913333
7,ALIENA / Transition,ORG,1.74,Fournisseur : DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1808-nas-trianglecarre.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,2025-06-13 13:26:35.923333
8,ACLEAR / Blue Natural / Fotocolor / Fotochroma / Transition / Xtractive / Fotocar / Speedy / Polarisant,ORG,1.5,Fournisseur : DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1809-nas-4symboles.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,2025-06-13 13:26:35.936666
9,ACLEAR / Blue Natural / Fotocolor / Transition / Xtractive / Polarisant,ORG,1.6,Fournisseur : DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1809-nas-4symboles.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,2025-06-13 13:26:35.946666
10,ACLEAR / Blue Natural / Transition / Polarisant,ORG,1.67,Fournisseur : DIVEL FRAN ...,https://si.france-optique.com/img/gravures/nasal/web_1809-nas-4symboles.tif.jpg,https://www.france-optique.com/gravures/fournisseur=70,2025-06-13 13:26:35.960000
